Phosphorus,Nitrogen,Potassium ,ph,humidity,temperature,rainfall,crops
128,24,196,5.521466996,90.69489172,22.75088787,110.4317855,apple
144,7,197,6.133220586,94.34814995,23.8494014,114.0512495,apple
128,14,205,6.226289556,94.58900601,22.60800988,116.0396587,apple
120,8,201,6.321152192,91.13435689,21.18667419,122.233323,apple
129,20,201,5.587905967,91.69913296,23.41044706,116.0777931,apple
137,32,204,5.824151693,93.12859895,22.86006627,117.7296726,apple
139,27,205,5.772179946,93.40819246,22.48403042,105.5473627,apple
123,0,205,5.790993052,92.96129462,22.02775403,121.1349176,apple
144,22,196,6.499226821,91.68748063,21.91191314,117.0761277,apple
124,1,199,5.658473817,93.27392415,23.71059131,112.6676589,apple
122,30,197,5.573241391,92.72043743,21.37784654,106.1417017,apple
121,29,196,6.079497202,94.32130209,22.84852833,123.5977843,apple
126,13,204,6.383180271,92.79630809,23.1094265,108.183792,apple
139,9,199,5.867420996,94.54128292,23.25230817,105.3558408,apple
133,0,200,5.708418722,90.4935574,23.67287749,104.2298028,apple
143,30,199,5.7983508,90.59810302,23.76881552,102.2648546,apple
140,36,198,6.28188384,91.47684705,23.34386401,104.4267991,apple
137,37,199,5.697945522,90.18451645,22.63946441,108.3405879,apple
121,33,203,5.605934087,94.76285385,22.45696744,114.8407725,apple
144,7,195,5.85648105,93.58065995,22.96388477,104.6472986,apple
128,35,205,6.041053829,93.56585985,21.07273439,107.8737015,apple
128,29,198,5.685062404,92.70785115,22.44075021,121.4977331,apple
143,2,196,5.669489065,90.45261746,22.71271308,109.8852597,apple
140,34,198,5.751707342,93.44006288,21.70416965,115.1781396,apple
144,29,204,5.800448951,92.48667725,22.43324518,119.1025189,apple
141,32,203,5.821347769,92.84416234,21.25941052,109.0658471,apple
144,13,197,6.28022267,94.89613443,22.9215706,105.6941544,apple
143,25,198,6.027314401,91.51861705,22.81212536,107.855225,apple
137,9,200,5.636687393,90.6878768,21.12152071,102.8017203,apple
144,6,198,5.559363609,90.31528693,21.11478672,104.5086618,apple
126,37,196,5.596449493,90.97597665,23.59997268,107.1728191,apple
120,2,203,5.893492999,94.71203306,23.12652652,108.6211833,apple
143,11,197,5.875718516,93.3204487,22.98458907,122.1952483,apple
141,10,201,6.386021424,90.97818277,22.12659387,104.5412275,apple
142,24,202,5.710819862,91.48135786,22.53779727,101.8474768,apple
138,23,195,5.795985716,91.70292746,22.49095104,124.3915101,apple
125,18,204,6.046673619,94.47811755,22.35548159,116.7366261,apple
121,13,196,6.443382913,93.50574163,22.20700989,120.1593771,apple
122,26,202,5.617227184,94.73763514,22.44516988,107.1843273,apple
123,28,202,6.442289294,92.12438519,22.76643029,120.4359949,apple
121,26,201,6.162034371,90.02575116,22.19109412,112.3126628,apple
137,21,196,5.812781806,91.70293849,23.6119202,123.5900822,apple
135,21,198,5.765015126,94.92048112,23.86087054,105.0241329,apple
144,5,205,6.184922574,92.62665309,21.42177231,102.8045658,apple
123,2,205,5.739652177,90.78572467,22.36629253,124.9831618,apple
133,15,199,5.824778636,91.61001707,23.99686172,117.6102915,apple
130,31,198,5.554823557,92.73446667,21.80129837,120.0586671,apple
143,25,200,6.024248787,92.80441624,23.80436344,100.6192543,apple
143,16,204,5.631333387,91.53331177,23.71475278,121.8961665,apple
122,19,202,5.811975094,90.37981478,23.34467359,112.8954016,apple
125,10,196,5.730557448,90.03577124,22.31253665,113.0688155,apple
139,20,202,5.66999105,92.21083961,23.50201428,107.9868949,apple
123,28,198,5.682751473,91.45665004,23.46260321,111.7763395,apple
136,28,200,6.245858905,92.39544055,23.06204373,114.7399101,apple
131,2,199,6.017370134,91.22759742,22.47420512,124.2179699,apple
140,2,197,5.53456749,92.82223419,22.69780133,105.0508234,apple
138,27,201,5.952367662,93.90191078,23.66682067,105.4004751,apple
127,30,204,6.126436584,92.45878335,22.50050273,100.9343903,apple
145,32,203,6.406818518,90.84422164,23.83053666,109.5966791,apple
139,29,205,6.155939453,93.74461474,23.64142354,116.6912176,apple
126,26,195,5.878568981,92.99124545,21.41363812,118.3979065,apple
136,40,202,5.935336308,94.5764581,22.85267372,117.5314026,apple
124,6,200,5.971332179,93.84505029,22.98208095,109.5852253,apple
138,35,200,5.67130617,90.80819418,21.19909519,103.6838922,apple
136,17,196,5.882155988,90.49939035,23.87192332,103.0548094,apple
134,33,205,6.08551916,94.33919546,21.0365275,114.7412734,apple
143,16,197,5.90402645,93.51978375,22.61711614,116.9256766,apple
120,27,200,6.110218826,90.74531921,21.45278675,116.7036582,apple
145,29,205,6.212302608,92.12992101,22.81227579,109.3383552,apple
141,3,197,6.142803397,91.12719303,21.98141856,115.4789148,apple
123,15,204,6.365972688,92.54780429,22.52709326,115.3830068,apple
136,5,195,6.264202804,91.92360477,22.35628673,107.7697413,apple
136,10,204,6.276198595,92.15595143,21.19852186,105.8554351,apple
141,7,195,5.514253142,93.45067555,23.8812458,104.9116663,apple
129,2,201,5.682343744,94.36803516,22.78234161,122.1449949,apple
138,29,197,5.830892252,92.43764169,22.19055385,121.6622761,apple
137,30,200,5.603413172,90.70475565,22.91430043,118.6044645,apple
132,29,204,6.0967531,90.22507299,23.08950736,108.2166601,apple
139,14,197,6.056529526,92.83975602,21.72484506,121.6961761,apple
125,18,203,6.160267496,91.59234006,22.44307715,102.5565807,apple
143,33,204,5.814434775,91.95769858,21.1316077,122.5391946,apple
144,40,196,5.987262638,92.25479855,22.71750705,107.0289866,apple
143,9,197,5.570020684,92.88160462,23.75033085,117.6602827,apple
135,38,203,5.965551311,93.661643,23.76121837,100.825956,apple
130,28,196,6.062356467,94.67695747,22.13450646,112.9203223,apple
142,35,203,5.895319002,90.23730166,21.17089176,123.6495149,apple
129,12,205,6.119432215,91.15761594,22.36238282,118.6832725,apple
135,1,203,5.624203283,92.70124029,22.77856513,113.7759219,apple
145,0,205,5.52078314,90.09877774,21.22503442,113.9760462,apple
121,31,201,5.731535258,90.34396882,23.15791104,110.712841,apple
131,35,203,5.893490899,93.91722423,22.42776057,102.7230739,apple
140,29,195,5.560521058,90.95257927,23.64082979,116.7431319,apple
138,33,198,6.222390798,90.69033986,22.29423493,122.7418744,apple
140,14,197,6.071255131,90.90054697,23.35225078,113.0381382,apple
145,35,195,6.231950009,94.58075845,22.03911546,110.9804014,apple
120,40,197,5.889480679,92.48879468,23.80593812,119.6335548,apple
132,25,198,5.732757516,90.85174383,22.31944084,100.1173443,apple
137,31,196,6.400321212,93.82567435,22.14464104,120.6310784,apple
144,36,196,6.496934492,94.50528753,23.65167552,115.3611268,apple
140,10,197,6.229498836,90.27185592,22.16939473,124.4683112,apple
94,91,46,6.149934034,76.24900101,29.36792366,92.82840911,banana
95,105,50,5.849076099,83.67675197,27.33368994,101.0494791,banana
92,108,53,6.276800323,82.96221306,27.40053601,104.9378,banana
76,86,54,5.926824754,80.11585705,29.3159075,90.10978128,banana
77,80,49,5.519088423,79.39654531,26.05433004,113.2297373,banana
94,93,53,6.079178788,84.42379269,25.86632408,114.5357503,banana
92,90,55,6.13465588,80.18546798,27.00932084,97.32531705,banana
